name,group,order,types,description
SDL_SetGPUBlendConstants,36,940,SDL_GPURenderPass SDL_FColor,Sets the current blend constants on a command buffer.
SDL_SetGPUBufferName,36,920,SDL_GPUDevice SDL_GPUBuffer char,Sets an arbitrary string constant to label a buffer.
SDL_SetGPURenderState,17,596,SDL_Renderer SDL_GPURenderState bool,Set custom GPU render state.
SDL_SetGPURenderStateFragmentUniforms,17,595,SDL_GPURenderState Uint32 bool,Set fragment shader uniform variables in a custom GPU render state.
SDL_SetGPURenderStateSamplerBindings,17,592,SDL_GPURenderState int SDL_GPUTextureSamplerBinding bool,Set sampler bindings variables in a custom GPU render state.
SDL_SetGPURenderStateStorageBuffers,17,594,SDL_GPURenderState int SDL_GPUBuffer bool,Set storage buffers variables in a custom GPU render state.
SDL_SetGPURenderStateStorageTextures,17,593,SDL_GPURenderState int SDL_GPUTexture bool,Set storage textures variables in a custom GPU render state.
SDL_SetGPUScissor,36,939,SDL_GPURenderPass SDL_Rect,Sets the current scissor state on a command buffer.
SDL_SetGPUStencilReference,36,941,SDL_GPURenderPass Uint8,Sets the current stencil reference value on a command buffer.
SDL_SetGPUSwapchainParameters,36,979,SDL_GPUDevice SDL_Window SDL_GPUSwapchainComposition SDL_GPUPresentMode bool,Changes the swapchain parameters for the given claimed window.
SDL_SetGPUTextureName,36,921,SDL_GPUDevice SDL_GPUTexture char,Sets an arbitrary string constant to label a texture.
SDL_SetGPUViewport,36,938,SDL_GPURenderPass SDL_GPUViewport,Sets the current viewport state on a command buffer.
SDL_SetGamepadEventsEnabled,11,293,bool,Set the state of gamepad event processing.
SDL_SetGamepadLED,11,321,SDL_Gamepad Uint8 bool,Update a gamepad's LED color.
SDL_SetGamepadMapping,11,258,SDL_JoystickID char bool,Set the current mapping of a joystick or gamepad.
SDL_SetGamepadPlayerIndex,11,282,SDL_Gamepad int bool,Set the player index of an opened gamepad.
SDL_SetGamepadSensorEnabled,11,313,SDL_Gamepad SDL_SensorType bool,Set whether data reporting for a gamepad sensor is enabled.
SDL_SetHapticAutocenter,13,408,SDL_Haptic int bool,Set the global autocenter of the device.
SDL_SetHapticGain,13,407,SDL_Haptic int bool,Set the global gain of the specified haptic device.
SDL_SetHint,1,11,char bool,Set a hint with normal priority.
SDL_SetHintWithPriority,1,10,char SDL_HintPriority bool,Set a hint with a specific priority.
SDL_SetInitialized,20,642,SDL_InitState bool,Finish an initialization state transition.
SDL_SetJoystickEventsEnabled,12,370,bool,Set the state of joystick event processing.
SDL_SetJoystickLED,12,380,SDL_Joystick Uint8 bool,Update a joystick's LED color.
SDL_SetJoystickPlayerIndex,12,355,SDL_Joystick int bool,Set the player index of an opened joystick.
SDL_SetJoystickVirtualAxis,12,345,SDL_Joystick int Sint16 bool,Set the state of an axis on an opened virtual joystick.
SDL_SetJoystickVirtualBall,12,346,SDL_Joystick int Sint16 bool,Generate ball motion on an opened virtual joystick.
SDL_SetJoystickVirtualButton,12,347,SDL_Joystick int bool,Set the state of a button on an opened virtual joystick.
SDL_SetJoystickVirtualHat,12,348,SDL_Joystick int Uint8 bool,Set the state of a hat on an opened virtual joystick.
SDL_SetJoystickVirtualTouchpad,12,349,SDL_Joystick int bool float,Set touchpad finger state on an opened virtual joystick.
SDL_SetLinuxThreadPriority,47,1071,Sint64 int bool,Sets the UNIX nice value for a thread.
SDL_SetLinuxThreadPriorityAndPolicy,47,1072,Sint64 int bool,Sets the priority (not nice level) and scheduling policy for a thread.
SDL_SetLogOutputFunction,5,64,SDL_LogOutputFunction,Replace the default log output function with one of your own.
SDL_SetLogPriorities,5,47,SDL_LogPriority,Set the priority of all log categories.
SDL_SetLogPriority,5,48,int SDL_LogPriority,Set the priority of a particular log category.
SDL_SetLogPriorityPrefix,5,51,SDL_LogPriority char bool,Set the text prepended to log messages of a given priority.
SDL_SetMemoryFunctions,50,1113,SDL_malloc_func SDL_calloc_func SDL_realloc_func SDL_free_func bool,Replace SDL's memory allocation functions with a custom set.
SDL_SetModState,8,206,SDL_Keymod,Set the current key modifier state for the keyboard.
