name,group,order,types,description
TTF_SetGLTextEngineWinding,0,87,TTF_TextEngine TTF_GLTextEngineWinding,Sets the winding order of the vertices returned by TTF_GetGLTextDrawData for a particular GL text engine.
TTF_SetGPUTextEngineWinding,0,81,TTF_TextEngine TTF_GPUTextEngineWinding,Sets the winding order of the vertices returned by TTF_GetGPUTextDrawData for a particular GPU text engine.
TTF_SetTextColor,0,99,TTF_Text Uint8 bool,Set the color of a text object.
TTF_SetTextColorFloat,0,100,TTF_Text float bool,Set the color of a text object.
TTF_SetTextDirection,0,95,TTF_Text TTF_Direction bool,Set the direction to be used for text shaping a text object.
TTF_SetTextEngine,0,91,TTF_Text TTF_TextEngine bool,Set the text engine used by a text object.
TTF_SetTextFont,0,93,TTF_Text TTF_Font bool,Set the font used by a text object.
TTF_SetTextPosition,0,103,TTF_Text int bool,Set the position of a text object.
TTF_SetTextScript,0,97,TTF_Text Uint32 bool,Set the script to be used for text shaping a text object.
TTF_SetTextString,0,109,TTF_Text char size_t bool,Set the UTF-8 text used by a text object.
TTF_SetTextWrapWhitespaceVisible,0,107,TTF_Text bool,Set whether whitespace should be visible when wrapping a text object.
TTF_SetTextWrapWidth,0,105,TTF_Text int bool,Set whether wrapping is enabled on a text object.
TTF_StringToTag,0,44,char Uint32,Convert from a 4 character string to a 32-bit tag.
TTF_TagToString,0,45,Uint32 char size_t,Convert from a 32-bit tag to a 4 character string.
TTF_TextWrapWhitespaceVisible,0,108,TTF_Text bool,Return whether whitespace is shown when wrapping a text object.
TTF_UpdateText,0,120,TTF_Text bool,Update the layout of a text object.
TTF_Version,0,0,int,This function gets the version of the dynamically linked SDL_ttf library.
TTF_WasInit,0,124,int,Check if SDL_ttf is initialized.
